bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,64,64,9,0.648032,8,8,4D_cublas,8192,8192,256
8,128,128,0,3.84518,8,8,4D_kernel,8192,8192,256
8,128,128,1,3.83946,8,8,4D_kernel,8192,8192,256
8,128,128,2,3.84445,8,8,4D_kernel,8192,8192,256
8,128,128,3,3.82992,8,8,4D_kernel,8192,8192,256
8,128,128,4,3.8383,8,8,4D_kernel,8192,8192,256
8,128,128,5,3.84781,8,8,4D_kernel,8192,8192,256
8,128,128,6,3.84963,8,8,4D_kernel,8192,8192,256
8,128,128,7,3.83696,8,8,4D_kernel,8192,8192,256
8,128,128,8,3.81648,8,8,4D_kernel,8192,8192,256
8,128,128,9,3.84445,8,8,4D_kernel,8192,8192,256
8,128,128,0,0.661568,8,8,4D_cublas,8192,8192,256
8,128,128,1,0.66096,8,8,4D_cublas,8192,8192,256
8,128,128,2,0.654016,8,8,4D_cublas,8192,8192,256
8,128,128,3,0.653536,8,8,4D_cublas,8192,8192,256
8,128,128,4,0.65232,8,8,4D_cublas,8192,8192,256
8,128,128,5,0.65168,8,8,4D_cublas,8192,8192,256
8,128,128,6,0.651648,8,8,4D_cublas,8192,8192,256
8,128,128,7,0.649216,8,8,4D_cublas,8192,8192,256
8,128,128,8,0.647296,8,8,4D_cublas,8192,8192,256
8,128,128,9,0.64784,8,8,4D_cublas,8192,8192,256
32,128,64,0,3.91539,8,8,4D_kernel,8192,8192,256
32,128,64,1,3.91898,8,8,4D_kernel,8192,8192,256
32,128,64,2,3.88515,8,8,4D_kernel,8192,8192,256
32,128,64,3,3.88672,8,8,4D_kernel,8192,8192,256
32,128,64,4,3.90595,8,8,4D_kernel,8192,8192,256
32,128,64,5,3.87782,8,8,4D_kernel,8192,8192,256
32,128,64,6,3.86803,8,8,4D_kernel,8192,8192,256
32,128,64,7,3.87347,8,8,4D_kernel,8192,8192,256
32,128,64,8,3.87773,8,8,4D_kernel,8192,8192,256
32,128,64,9,3.90077,8,8,4D_kernel,8192,8192,256
32,128,64,0,0.661792,8,8,4D_cublas,8192,8192,256
